City,year,partialYearMonths,BlackPop,WhitePop,StanfordStopsBl,StanfordStopsWh,BlackProp,WhiteProp,DiffBlackMinusWhite,RatioBlackWhite,animus_score,implicit_score_mean,implicit_nobs,Region,WhitePoliceShare,WhitePopShare,HispPoliceShare,HispPopShare,BlackPolShare,BlackPopShare,AsianPoliceShare,AsianPopShare,PoliceRatioWhBl
Austin,2018,,92981,864981,,,,,,,52.54,0.2541,3202,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2018,3,38340,341732,489,1171,0.0510,0.0137,0.0373,3.7221,57.52,0.2095,459,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2018,,2341,40343,,,,,,,51.07,0.3070,1072,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2018,,368522,500043,,,,,,,73,0.2760,3654,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2018,5,139765,163398,4986,2778,0.0856,0.0408,0.0448,2.0983,71.84,0.2968,4640,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2018,,285911,600251,,,,,,,75.69,0.2378,211,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2018,,123802,149561,,,,,,,60.63,0.2443,2073,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2018,,101721,108728,,,,,,,60.63,0.2049,340,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2018,,136370,157335,,,,,,,67.91,0.2338,1223,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2018,,65038,57364,,,,,,,63.93,0.3057,2083,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2018,4,649580,1646243,25126,45264,0.1160,0.0825,0.0336,1.4068,51.26,0.2349,5795,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2018,,89216,107675,,,,,,,61.89,0.2866,739,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2018,6,581996,3376808,64080,42348,0.2202,0.0251,0.1951,8.7796,64.39,0.2480,15636,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2018,1,150169,465213,647,1161,0.0517,0.0299,0.0218,1.7264,71.64,0.2974,2251,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2018,,20630,236109,,,,,,,55.66,0.2928,2429,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2018,,202904,460183,75312,108986,0.3712,0.2368,0.1343,1.5672,63.43,0.2522,2020,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2018,7,245673,139325,16087,4389,0.1123,0.0540,0.0583,2.0786,61.94,0.1932,1399,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2018,,172346,260685,,,,,,,47.64,0.2446,10570,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2018,,116175,530542,,,,,,,58.92,0.2603,1341,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2018,4,724749,709033,59879,14597,0.2479,0.0618,0.1861,4.0132,77.93,0.2845,11076,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2018,4,78342,222546,3110,3922,0.1191,0.0529,0.0662,2.2526,76.08,0.3172,3172,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2018,,159227,307045,,,,,,,60.63,0.2852,2209,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2018,4,121550,1401275,3456,12966,0.0853,0.0278,0.0575,3.0728,46.23,0.2605,1399,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2018,3,130344,1280568,,,,,,,52.04,0.2727,4863,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2018,,60254,501415,,,,,,,47.64,0.2446,10570,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2018,,70677,942690,462,1141,0.0065,0.0012,0.0053,5.4007,47.64,0.2641,3727,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2018,,66169,244196,,,,,,,61.89,0.2517,509,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2018,3,107609,284981,4487,10027,0.1668,0.1407,0.0260,1.1851,68.72,0.3158,2669,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2018,,77497,322661,,,,,,,40.59,0.2936,955,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2018,,50758,338339,,,,,,,38.3,0.3103,502,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2018,,94537,151372,,,,,,,67.91,0.2906,817,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2017,,91997,845018,,,,,,,52.54,0.2852,3232,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2017,,39054,336944,1903,6932,0.0487,0.0206,0.0282,2.3685,57.52,0.3116,627,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2017,,2350,40380,315,2682,0.1340,0.0664,0.0676,2.0181,51.07,0.3017,1122,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2017,,369247,482175,,,,,,,73,0.2825,3837,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2017,,139976,162409,12775,6982,0.0913,0.0430,0.0483,2.1229,71.84,0.3166,4862,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2017,,280844,592927,,,,,,,75.69,0.3138,5184,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2017,,122529,145205,,,,,,,60.63,0.2495,2511,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2017,,101005,108236,,,,,,,60.63,0.2601,440,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2017,,134679,156021,,,,,,,67.91,0.2397,998,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2017,,65711,56988,,,,,,,63.93,0.3003,2333,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2017,,647300,1624078,75442,137271,0.1165,0.0845,0.0320,1.3789,51.26,0.2580,4651,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2017,11,89288,107182,7044,6028,0.0861,0.0614,0.0247,1.4027,61.89,0.2840,547,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2017,,586130,3351900,114806,89335,0.1959,0.0267,0.1692,7.3492,64.39,0.2655,14424,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2017,,148457,464670,9401,17812,0.0633,0.0383,0.0250,1.6520,71.64,0.3107,2628,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2017,9,20531,233266,4505,13153,0.2926,0.0752,0.2174,3.8914,55.66,0.3221,3236,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2017,,200368,454986,88748,134661,0.4429,0.2960,0.1470,1.4965,63.43,0.2839,2042,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2017,,242760,137092,26136,8145,0.1077,0.0594,0.0482,1.8121,61.94,0.2202,1358,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2017,,172915,254828,16115,2380,0.0932,0.0093,0.0839,9.9786,47.64,0.3000,4864,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2017,10,115830,522548,14130,56473,0.1464,0.1297,0.0167,1.1288,58.92,0.2746,1186,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2017,,726492,707054,201816,50469,0.2778,0.0714,0.2064,3.8918,77.93,0.2997,10758,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2017,,79366,222124,9128,11269,0.1150,0.0507,0.0643,2.2670,76.08,0.3253,3209,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2017,,156339,302135,,,,,,,60.63,0.2939,2656,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2017,,120907,1377491,12597,42907,0.1042,0.0311,0.0730,3.3448,46.23,0.2967,1520,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2017,,130853,1267120,3271,11320,0.0250,0.0089,0.0161,2.7981,52.04,0.3000,4864,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2017,,59839,501481,,,,,,,47.64,0.2432,11047,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2017,,70067,934872,1702,3900,0.0243,0.0042,0.0201,5.8228,47.64,0.2929,3520,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2017,,67010,241022,,,,,,,61.89,0.2620,434,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2017,,106621,278859,29984,62745,0.2812,0.2250,0.0562,1.2498,68.72,0.3330,2683,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2017,,77588,321539,,,,,,,40.59,0.2887,917,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2017,,51009,337246,,,,,,,38.3,0.2986,513,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2017,,94349,149523,,,,,,,67.91,0.2805,821,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2016,6,90966,825102,2391,8468,0.0526,0.0205,0.0320,2.5611,52.54,0.2524,2661,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2016,,39743,332181,2522,10151,0.0635,0.0306,0.0329,2.0766,57.52,0.2773,570,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2016,,2268,40417,405,4011,0.1786,0.0992,0.0793,1.7994,51.07,0.3274,268,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2016,,369651,464629,,,,,,,73,0.2858,3193,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2016,,140184,161424,13534,7330,0.0965,0.0454,0.0511,2.1261,71.84,0.3025,3288,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2016,,275807,585573,11843,10778,0.0429,0.0184,0.0245,2.3329,75.69,0.2950,4372,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2016,,121202,140903,,,,,,,60.63,0.2511,2548,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2016,,100290,107742,,,,,,,60.63,0.3062,1452,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2016,,132995,154701,,,,,,,67.91,0.2639,1040,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2016,9,66387,56608,1352,1102,0.0272,0.0260,0.0012,1.0461,63.93,0.3687,816,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2016,,644921,1602012,91209,168956,0.1414,0.1055,0.0360,1.3410,51.26,0.2640,5298,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2016,,89359,106691,,,,,,,61.89,0.2588,541,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2016,,590189,3327069,97115,79230,0.1645,0.0238,0.1407,6.9098,64.39,0.2526,12920,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2016,,146753,464118,9835,21768,0.0670,0.0469,0.0201,1.4289,71.64,0.2985,2143,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2016,,20429,230427,6600,19802,0.3231,0.0859,0.2371,3.7594,55.66,0.3060,3145,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2016,,197836,449784,109148,160664,0.5517,0.3572,0.1945,1.5445,63.43,0.2788,2092,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2016,,239837,134869,19745,8035,0.0823,0.0596,0.0228,1.3819,61.94,0.2442,1148,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2016,,173418,249037,15654,2801,0.0903,0.0112,0.0790,8.0257,47.64,0.2523,10777,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2016,,115455,514583,16152,69727,0.1399,0.1355,0.0044,1.0324,58.92,0.2668,1171,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2016,,727283,704878,190973,53231,0.2626,0.0755,0.1871,3.4771,77.93,0.2627,8753,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2016,,80394,221698,6242,10164,0.0776,0.0458,0.0318,1.6935,76.08,0.3167,2845,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2016,,153458,297218,,,,,,,60.63,0.2817,1973,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2016,,120221,1353750,11710,39583,0.0974,0.0292,0.0682,3.3312,46.23,0.2628,1622,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2016,,131330,1253705,11808,42091,0.0899,0.0336,0.0563,2.6780,52.04,0.2716,4162,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2016,6,59320,499912,7153,14198,0.2412,0.0568,0.1844,4.2457,47.64,0.2523,10777,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2016,,69457,927054,1413,2927,0.0203,0.0032,0.0172,6.4433,47.64,0.2798,3392,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2016,,67831,237869,2701,1877,0.0398,0.0079,0.0319,5.0463,61.89,0.2482,489,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2016,,105598,272772,34586,72379,0.3275,0.2653,0.0622,1.2343,68.72,0.2988,2441,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2016,,77677,320418,4549,20261,0.0586,0.0632,-0.0047,0.9261,40.59,0.2821,871,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2016,,51259,336155,7941,31873,0.1549,0.0948,0.0601,1.6339,38.3,0.3189,554,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2016,,94151,147685,,,,,,,67.91,0.2840,950,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2015,,89889,805233,4509,16582,0.0502,0.0206,0.0296,2.4359,52.54,0.2821,2485,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2015,,40408,327442,2905,14161,0.0719,0.0432,0.0286,1.6623,57.52,0.2733,380,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2015,,2187,40454,504,4444,0.2305,0.1099,0.1206,2.0978,51.07,0.2510,101,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2015,,369732,447406,60371,38343,0.1633,0.0857,0.0776,1.9053,73,0.2883,2188,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2015,,140390,160441,15127,9484,0.1077,0.0591,0.0486,1.8228,71.84,0.2970,2138,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2015,,270800,578188,11250,10862,0.0415,0.0188,0.0228,2.2114,75.69,0.2917,2808,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2015,,119822,136654,13594,6489,0.1135,0.0475,0.0660,2.3892,60.63,0.2561,1764,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2015,,99578,107246,30879,21136,0.3101,0.1971,0.1130,1.5735,60.63,0.1771,201,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2015,,131316,153374,15959,9838,0.1215,0.0641,0.0574,1.8947,67.91,0.2564,730,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2015,,67065,56227,2100,1841,0.0313,0.0327,-0.0014,0.9563,63.93,0.3426,346,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2015,,642441,1580047,96652,169482,0.1504,0.1073,0.0432,1.4026,51.26,0.2694,4067,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2015,,89428,106200,,,,,,,61.89,0.2410,544,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2015,,594172,3302313,86184,87406,0.1450,0.0265,0.1186,5.4801,64.39,0.2692,11126,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2015,,145058,463557,15060,28598,0.1038,0.0617,0.0421,1.6829,71.64,0.2806,1385,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2015,,20324,227591,7385,22541,0.3634,0.0990,0.2643,3.6688,55.66,0.2943,2226,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2015,,195309,444579,129699,196677,0.6641,0.4424,0.2217,1.5011,63.43,0.2858,1406,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2015,,236904,132656,30781,10999,0.1299,0.0829,0.0470,1.5671,61.94,0.2163,1024,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2015,,173854,243312,10971,2559,0.0631,0.0105,0.0526,6.0000,47.64,0.2568,9493,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2015,,115049,506649,14170,64695,0.1232,0.1277,-0.0045,0.9645,58.92,0.2517,1037,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2015,,726619,703446,181193,60051,0.2494,0.0854,0.1640,2.9211,77.93,0.2895,6827,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2015,,81425,221269,7249,10476,0.0890,0.0473,0.0417,1.8804,76.08,0.3253,2435,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2015,,150586,292294,34053,27029,0.2261,0.0925,0.1337,2.4455,60.63,0.2867,1477,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2015,,119492,1330052,12140,41337,0.1016,0.0311,0.0705,3.2690,46.23,0.2758,1110,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2015,,131776,1240320,12105,48758,0.0919,0.0393,0.0525,2.3368,52.04,0.2875,3279,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2015,,59203,496859,14990,29867,0.2532,0.0601,0.1931,4.2121,47.64,0.2568,9493,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2015,,68847,919235,1470,3161,0.0214,0.0034,0.0179,6.2092,47.64,0.2930,3295,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2015,,68633,234736,3889,2827,0.0567,0.0120,0.0446,4.7050,61.89,0.2847,485,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2015,,104540,266720,37936,80724,0.3629,0.3027,0.0602,1.1990,68.72,0.2979,2989,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2015,,77765,319299,4706,18571,0.0605,0.0582,0.0024,1.0405,40.59,0.3163,483,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2015,,51507,335066,8543,37903,0.1659,0.1131,0.0527,1.4662,38.3,0.2906,450,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2015,,93943,145856,13524,10303,0.1440,0.0706,0.0733,2.0380,67.91,0.2838,656,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2014,,88765,785411,5104,18992,0.0575,0.0242,0.0333,2.3779,52.54,0.3041,1664,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2014,,41049,322728,2934,12550,0.0715,0.0389,0.0326,1.8380,57.52,0.3057,205,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2014,,2106,40490,425,4981,0.2018,0.1230,0.0788,1.6404,51.07,0.3325,435,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2014,,369491,430504,76263,50980,0.2064,0.1184,0.0880,1.7430,73,0.3331,1443,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2014,,140592,159462,14616,9957,0.1040,0.0624,0.0415,1.6649,71.84,0.3314,1517,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2014,,265824,570773,11290,12978,0.0425,0.0227,0.0197,1.8679,75.69,0.3204,2193,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2014,,118388,132459,14200,6840,0.1199,0.0516,0.0683,2.3228,60.63,0.2875,1395,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2014,,98866,106749,19780,12218,0.2001,0.1145,0.0856,1.7480,60.63,0.2301,139,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2014,,129644,152041,22440,13321,0.1731,0.0876,0.0855,1.9756,67.91,0.2330,753,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2014,,67745,55843,2971,2511,0.0439,0.0450,-0.0011,0.9753,63.93,0.3025,1081,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
